,z3-base,z3-base,z3-base,z3-base,z3-base,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later
,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,arith-check-assignment-calls,arith-used-check-assignment,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,arith-check-assignment-calls,arith-used-check-assignment
AProVE/aproveSMT6212352258689239272.smt2,506,42700,sat,1.0,3.0,383,43468,sat,1.0,3.0,,0,510,41908,sat,1.0,3.0,,0
AProVE/aproveSMT5619952650808291328.smt2,396,42688,sat,,,419,43448,sat,,,,0,431,42684,sat,,,,0
AProVE/aproveSMT6151423839472081540.smt2,409,43452,unsat,,,422,41928,unsat,,,,0,441,44712,unsat,,,,0
AProVE/aproveSMT2359969224185831181.smt2,397,43456,sat,1.0,1.0,435,41916,sat,1.0,1.0,,0,421,42668,sat,1.0,1.0,,0
AProVE/aproveSMT1002987040614633432.smt2,455,41916,sat,,1.0,511,42680,sat,,1.0,,0,426,41924,sat,,1.0,,0
AProVE/aproveSMT4912140176678850913.smt2,407,42684,sat,,,449,42692,sat,,,,0,463,43460,sat,,,,0
AProVE/aproveSMT4868384444924381031.smt2,348,43452,unsat,,,395,42668,unsat,,,,0,427,41908,unsat,,,,0
AProVE/aproveSMT3755988980712377165.smt2,728,42676,sat,,,407,42668,sat,,,,0,489,42684,sat,,,,0
AProVE/aproveSMT883889256045201990.smt2,491,43452,unsat,1.0,69.0,453,42664,unsat,1.0,69.0,,0,426,44712,unsat,1.0,69.0,,0
AProVE/aproveSMT2953888092514759474.smt2,419,42680,sat,,,444,43460,sat,,,,0,431,43456,sat,,,,0
AProVE/aproveSMT453198363063263721.smt2,1842,48044,sat,6.0,488.0,1923,48044,sat,6.0,488.0,,0,1726,48040,sat,6.0,488.0,,0
AProVE/aproveSMT5627939386324447702.smt2,649,42672,sat,11.0,255.0,649,42688,sat,11.0,255.0,,0,810,42684,sat,11.0,255.0,,0
AProVE/aproveSMT6912257237673124885.smt2,367,42688,unsat,,3.0,447,43472,unsat,,3.0,,0,386,43456,unsat,,3.0,,0
AProVE/aproveSMT5904831322138046805.smt2,468,42676,sat,,1.0,422,42696,sat,,1.0,,0,427,41904,sat,,1.0,,0
AProVE/aproveSMT2593320806111952030.smt2,446,43460,sat,,,478,42708,sat,,,,0,462,42688,sat,,,,0
AProVE/aproveSMT8469330462255503240.smt2,628,43472,sat,6.0,196.0,694,42692,sat,6.0,196.0,,0,765,42676,sat,6.0,196.0,,0
AProVE/aproveSMT1544789664246371977.smt2,24153,62956,sat,330.0,5323.0,63021,3840,timeout,,,,0,22899,63268,sat,330.0,5323.0,,0
AProVE/aproveSMT6330696683272425132.smt2,504,41920,unsat,8.0,11.0,413,44708,unsat,8.0,11.0,,0,500,43440,unsat,8.0,11.0,,0
AProVE/aproveSMT9209898785440985660.smt2,10993,80232,sat,191.0,950.0,16811,81164,sat,191.0,950.0,,0,11384,80080,sat,191.0,950.0,,0
AProVE/aproveSMT4038689574020731144.smt2,63024,3072,timeout,,,63024,3072,timeout,,,,0,63021,3072,timeout,,,,0
AProVE/aproveSMT1901896504511143320.smt2,472,43464,sat,2.0,16.0,409,41912,sat,2.0,16.0,,0,488,41924,sat,2.0,16.0,,0
AProVE/aproveSMT6500048596873196244.smt2,39832,44544,sat,52.0,341.0,39781,44596,sat,52.0,341.0,,0,37493,45180,sat,52.0,341.0,,0
AProVE/aproveSMT1167329477969666320.smt2,63034,3840,timeout,,,63032,3840,timeout,,,,0,63020,3840,timeout,,,,0
AProVE/aproveSMT2736278855047046880.smt2,63030,3072,timeout,,,63036,3072,timeout,,,,0,63028,3072,timeout,,,,0
AProVE/aproveSMT8055655906282186416.smt2,833,44744,unsat,13.0,29.0,486,44692,unsat,13.0,29.0,,0,491,42688,unsat,13.0,29.0,,0
AProVE/aproveSMT8379535818461932709.smt2,357,43452,sat,,,356,42680,sat,,,,0,418,42688,sat,,,,0
